Carrier Code,Date,Flight_Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),month,org_clouds,org_pres,org_snow,org_temp,org_solar_rad,org_wind_spd,dest_clouds,dest_pres,dest_snow,dest_temp,dest_solar_rad,dest_wind_spd
UA,2021-11-06,2000,N889UA,ORD,20:51,20:37,111,106,-14,20:32,5,0,0,0,0,0,November,29,1000.4,0,8.9,129.4,4,15,1012.2,0,4.6,122.2,2.3
UA,2022-11-06,604,N811UA,DEN,14:57,14:51,194,187,-6,14:30,21,0,0,0,0,0,November,45,823.5,0,6,105.5,3.7,66,1000.5,0,22.3,98.7,5.1
UA,2022-11-06,1998,N421UA,ORD,21:04,20:44,114,102,-20,20:38,6,0,0,0,0,0,November,27,991.6,0,11.3,101.4,4.9,66,1000.5,0,22.3,98.7,5.1
UA,2021-11-07,2000,N871UA,ORD,20:51,20:38,111,109,-13,20:33,5,0,0,0,0,0,November,41,997.9,0,12.3,78.8,4.6,0,1006.6,0,5.7,117.8,2
UA,2022-11-07,604,N850UA,DEN,14:57,15:15,194,179,18,15:12,3,0,0,0,0,18,November,21,825.3,0,4.9,142.5,2.9,4,1008.9,0,14.2,122.7,5.9
UA,2022-11-07,1998,N451UA,ORD,21:04,21:35,114,93,31,21:31,4,5,0,0,0,26,November,35,1009.4,0,8.8,123.6,4.5,4,1008.9,0,14.2,122.7,5.9
UA,2021-11-08,2000,N463UA,ORD,20:51,21:47,111,90,56,21:43,4,56,0,0,0,0,November,25,997.1,0,13.5,126.3,2.9,3,1005.7,0,8.1,120.9,2.2
UA,2022-11-08,604,N835UA,DEN,14:57,14:58,194,195,1,14:53,5,0,0,0,0,0,November,37,822.7,0,12,127.7,3.4,6,1022.2,0,7.1,120.8,3.5
UA,2022-11-08,1998,N458UA,ORD,21:04,20:43,114,99,-21,20:38,5,0,0,0,0,0,November,33,1012.2,0,9.4,111.7,6.6,6,1022.2,0,7.1,120.8,3.5
UA,2021-11-09,2000,N844UA,ORD,20:51,20:44,111,107,-7,20:38,6,0,0,0,0,0,November,71,998.8,0,11.5,39.4,2.9,52,1003.7,0,9.5,97.3,2.5
UA,2022-11-09,604,N843UA,DEN,14:57,14:45,194,186,-12,14:40,5,0,0,0,0,0,November,34,817.3,0,2.2,139.1,3.5,2,1018.1,0,4.7,119.3,2.9
UA,2022-11-09,1998,N408UA,ORD,21:04,20:45,114,96,-19,20:40,5,0,0,0,0,0,November,46,1001.6,0,14.6,112.7,3.5,2,1018.1,0,4.7,119.3,2.9
UA,2021-11-10,2000,N420UA,ORD,20:51,21:00,111,98,9,20:56,4,0,0,0,0,0,November,84,996.2,0,11,32,3.8,57,1005.6,0,10.9,112.8,3.5
UA,2022-11-10,604,N845UA,DEN,14:57,15:00,194,191,3,14:55,5,0,0,0,0,0,November,16,823.2,0,3,137.3,6.2,18,1007.6,0,12.7,117.6,3.5
UA,2022-11-10,1998,N489UA,ORD,21:04,20:52,114,107,-12,20:48,4,0,0,0,0,0,November,37,992.3,0,19.1,124.4,6,18,1007.6,0,12.7,117.6,3.5
UA,2021-11-11,2000,N880UA,ORD,20:51,23:53,111,106,182,23:49,4,0,0,0,0,182,November,71,982.7,0,10.1,42.3,4.4,99,1005.8,0,6.1,29.8,4.3
UA,2022-11-11,604,N895UA,DEN,14:57,15:10,194,190,13,15:04,6,0,0,0,0,0,November,43,827.9,0,-3,99.1,2.4,100,994.9,0,16.1,20.8,3.6
UA,2022-11-11,1998,N484UA,ORD,21:04,21:10,114,103,6,21:04,6,0,0,0,0,0,November,51,989.6,0,7.8,97.5,4.6,100,994.9,0,16.1,20.8,3.6
UA,2021-11-12,2000,N880UA,ORD,20:51,21:04,111,98,13,21:00,4,0,0,0,0,0,November,80,985.6,0,3.9,41.5,4.4,56,996.4,0,13.2,80.8,4.4
